GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34013","Essex, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4650,4990,5217,5586,5981,6448,6955,7456,8146,8922,9781,10985,12258,13243,14238,15643,16530,17528,18924,20873,22412,24074,24507,26216,26802,27694,29335,30656,32090,33952,35228,38861,39811,39147,40220,42365,44104,47674,50564,51466,50109,50950,52545,52889,53256,55374,57140,57997,59492,59951,63975,68192,74310
 "34015","Gloucester, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",655500,697223,762053,839356,929579,1034180,1138833,1256379,1387088,1559990,1750865,1981483,2207063,2398010,2596360,2859044,3080209,3293894,3551260,3919818,4229608,4457359,4613992,4889056,5064451,5294997,5480976,5738013,6266370,6528829,6822278,7323618,7871213,8292447,8662306,9355094,9887531,10625702,11204977,11910514,11956292,12215917,12641714,13064204,13320968,13782490,14439463,14765960,15352367,15963167,16741310,17826365,19045893
 "34015","Gloucester, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",170093,173501,176037,179563,180996,183893,182895,185121,187444,192708,196728,200507,202485,204856,204814,206380,208935,211362,214460,220182,226473,231134,234449,236553,238805,242161,243752,245390,247674,249996,252536,256524,258783,262909,267445,271714,275122,280015,284086,286072,287362,289389,290861,291930,292957,294707,295929,296638,297875,299504,300540,302607,304477
 "34015","Gloucester, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3854,4019,4329,4674,5136,5624,6227,6787,7400,8095,8900,9882,10900,11706,12677,13853,14742,15584,16559,17803,18676,19285,19680,20668,21207,21866,22486,23383,25301,26116,27015,28549,30416,31541,32389,34430,35939,37947,39442,41635,41607,42213,43463,44751,45471,46767,48794,49778,51540,53299,55704,58909,62553
 "34017","Hudson, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2407507,2584689,2711355,2860999,3062108,3320325,3575017,3786875,4071816,4391296,4759670,5234915,5779192,6223087,6682414,7363232,7809562,8334491,8889247,9691484,10421850,11066699,11334961,11917097,12199687,12541288,13283613,14022095,14768445,15666341,16561993,18130603,18966586,19245207,19185200,19928309,21254689,23174420,25537908,27421896,26329201,27874057,28886325,30308548,31134237,33717438,36332979,37842406,40761958,43822167,46593911,47340530,50609752
 "34017","Hudson, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",611436,606614,604501,605936,596986,591049,584592,581234,571757,566879,558771,558592,564000,564825,568478,570123,568869,565714,560630,556954,553554,554289,558839,564276,568517,572720,578889,585056,592812,598238,603993,610135,616629,615554,614813,614607,614664,613577,613637,619533,628572,636801,651544,663129,672796,681002,690400,699694,709180,713831,720763,722655,702463
 "34017","Hudson, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3937,4261,4485,4722,5129,5618,6115,6515,7122,7746,8518,9372,10247,11018,11755,12915,13728,14733,15856,17401,18827,19966,20283,21119,21459,21898,22947,23967,24913,26187,27421,29716,30759,31265,31205,32424,34579,37769,41617,44262,41887,43772,44335,45705,46276,49512,52626,54084,57478,61390,64645,65509,72046
 "34019","Hunterdon, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",321355,349595,386711,434323,491521,554591,615793,686943,772200,887050,1019668,1157952,1288807,1420314,1567687,1788650,2001313,2203029,2425355,2696186,2918555,3161674,3288176,3604585,3797032,3968960,4292092,4613458,5026261,5523783,5902915,6593321,7249423,7460501,7812024,8017846,8024281,8643319,8969349,9187506,8856412,8945729,9176134,9547325,9510396,9931267,10170539,10471158,10635988,11046944,11692315,12017997,13029821
 "34019","Hunterdon, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",68600,69901,70775,74005,76237,77077,78734,80827,82993,85036,87388,87681,88798,89971,91697,93796,95829,99166,102354,104002,106314,108128,108668,110750,112395,113522,114049,116203,117564,119031,120689,122579,124500,125892,126935,127583,128072,128535,128568,128449,128364,127426,127864,127584,127779,127643,127715,127522,128034,128639,128985,128839,129924
 "34019","Hunterdon, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4684,5001,5464,5869,6447,7195,7821,8499,9304,10431,11668,13206,14514,15786,17096,19070,20884,22216,23696,25924,27452,29240,30259,32547,33783,34962,37634,39702,42753,46406,48910,53788,58228,59261,61543,62844,62654,67245,69763,71526,68995,70203,71765,74832,74428,77805,79635,82113,83072,85876,90649,93279,100288
